"","transcriptome","Term_unique","n_species","n_divided","n_Pgen","Pgen_normalized","normalized","log_scale"
"169","Mercenaria","generation of precursor metabolites and energy",14,0.00636942675159236,105,0.0059621827267049,1.06830451925993,0.0660728302892539
"170","Mercenaria","protein localization to plasma membrane",14,0.00636942675159236,68,0.00386122309919936,1.64958786062196,0.50052547527067
"171","Mercenaria","cellular amino acid metabolic process",11,0.00500454959053685,88,0.00499687695190506,1.00153548680619,0.00153430915168261
"172","Mercenaria","mitochondrion organization",11,0.00500454959053685,168,0.00953949236272784,0.524613826422289,-0.64509285577337
"173","Mercenaria","mitotic nuclear division",11,0.00500454959053685,132,0.00749531542785759,0.667690324537458,-0.403930798956482
"174","Mercenaria","inflammatory response",10,0.00454959053685168,135,0.00766566350576344,0.593502510699963,-0.521713834612865
"175","Mercenaria","sulfur compound metabolic process",10,0.00454959053685168,109,0.00618931349724604,0.735071916921972,-0.30778693840358
"176","Mercenaria","protein maturation",9,0.00409463148316652,107,0.00607574811197547,0.673930421028463,-0.394628406294168
"177","Mercenaria","tRNA metabolic process",9,0.00409463148316652,40,0.00227130770541139,1.80276387625114,0.589320974053802
"178","Mercenaria","muscle system process",8,0.00363967242948135,127,0.00721140196468116,0.504710796500756,-0.683769693947237
"179","Mercenaria","telomere organization",8,0.00363967242948135,80,0.00454261541082278,0.80122838944495,-0.221609242162527
"180","Mercenaria","cytoplasmic translation",6,0.00272975432211101,17,0.000965305774799841,2.82786490392335,1.03952197600336
"181","Mercenaria","extracellular matrix organization",6,0.00272975432211101,58,0.00329339617284652,0.828856954598224,-0.187707690486846
"182","Mercenaria","protein glycosylation",6,0.00272975432211101,55,0.00312304809494066,0.874067333939946,-0.134597865172897
"183","Mercenaria","cellular modified amino acid metabolic process",5,0.00227479526842584,76,0.00431548464028164,0.527123940424309,-0.640319577020712
"184","Mercenaria","gene silencing by RNA",5,0.00227479526842584,34,0.00193061154959968,1.1782770433014,0.164053238649457
"185","Mercenaria","meiotic nuclear division",5,0.00227479526842584,79,0.0044858327181875,0.507106575598069,-0.679034089201403
"186","Mercenaria","ribosome biogenesis",5,0.00227479526842584,69,0.00391800579183465,0.580600282206485,-0.543692741331641
"187","Mercenaria","endocrine process",4,0.00181983621474067,32,0.00181704616432911,1.00153548680619,0.00153430915168261
"188","Mercenaria","vitamin metabolic process",4,0.00181983621474067,38,0.00215774232014082,0.843398304678895,-0.170315947774977
"189","Mercenaria","wound healing",4,0.00181983621474067,97,0.00550792118562262,0.330403459564928,-1.10744076655197
"190","Mercenaria","lysosome organization",3,0.00136487716105551,16,0.000908523082164556,1.50230323020928,0.406999417259847
"191","Mercenaria","mitochondrial gene expression",3,0.00136487716105551,25,0.00141956731588212,0.96147406733394,-0.0392876853685724
"192","Mercenaria","nitrogen cycle metabolic process",3,0.00136487716105551,6,0.000340696155811709,4.00614194722475,1.38782867027157
"193","Mercenaria","detoxification",2,0.000909918107370337,18,0.00102208846743513,0.890253766049944,-0.116248726504701
"194","Mercenaria","digestive system process",2,0.000909918107370337,41,0.00232809039804668,0.390843116802415,-0.939449035312844
"195","Mercenaria","renal system process",2,0.000909918107370337,48,0.00272556924649367,0.333845162268729,-1.09707797951643
"196","Mercenaria","respiratory system process",2,0.000909918107370337,17,0.000965305774799841,0.942621634641118,-0.0590903126647522
"197","Mercenaria","snRNA metabolic process",2,0.000909918107370337,16,0.000908523082164556,1.00153548680619,0.00153430915168261
"198","Mercenaria","NA",1,0.000454959053685168,1,5.67826926352848e-05,8.0122838944495,2.08097585083152
"199","Mercenaria","peroxisome organization",1,0.000454959053685168,15,0.000851740389529271,0.534152259629967,-0.627074350270692
"200","Mercenaria_r","anatomical structure development",768,0.109292728048954,1853,0.105218329453183,1.03872327774967,0.0379923414651999
"201","Mercenaria_r","signaling",635,0.090365732175893,1603,0.0910226562943615,0.992782850498847,-0.0072433191139737
"202","Mercenaria_r","cell differentiation",517,0.0735733598975381,1281,0.0727386292657998,1.01147575421978,0.0114104072145824
"203","Mercenaria_r","DNA-templated transcription",267,0.0379962999857692,741,0.042075975242746,0.903040268622646,-0.10198813229295
"204","Mercenaria_r","regulation of DNA-templated transcription",245,0.0348655187135335,678,0.0384986656067231,0.905629277380588,-0.0991252427927809
"205","Mercenaria_r","cell motility",241,0.0342962857549452,595,0.0337857021179944,1.01511241752998,0.0149993625479129
"206","Mercenaria_r","cytoskeleton organization",237,0.0337270527963569,516,0.0292998693998069,1.15109908293923,0.140717210256456
"207","Mercenaria_r","immune system process",232,0.0330155115981215,670,0.0380444040656408,0.867815186200773,-0.141776506115814
"208","Mercenaria_r","programmed cell death",229,0.0325885868791803,600,0.0340696155811709,0.956529339215407,-0.0444438170590192
"209","Mercenaria_r","vesicle-mediated transport",218,0.0310231962430625,484,0.0274828232354778,1.12882129966234,0.121173990675345
"210","Mercenaria_r","reproductive process",202,0.0287462644087093,536,0.0304355232525126,0.944497131533169,-0.0571026290667097
"211","Mercenaria_r","protein-containing complex assembly",174,0.0247616336985911,444,0.0252115155300664,0.982155700598848,-0.0180054286148082
"212","Mercenaria_r","cell adhesion",163,0.0231962430624733,387,0.0219749020498552,1.05557890587395,0.0540893423798681
"213","Mercenaria_r","nervous system process",153,0.0217731606660026,358,0.0203282039634319,1.07108137566752,0.0686687695946226
"214","Mercenaria_r","lipid metabolic process",152,0.0216308524263555,352,0.0199875078076202,1.0822185854561,0.0790131798510668
"215","Mercenaria_r","mitotic cell cycle",142,0.0202077700298847,363,0.0206121174266084,0.980383024783196,-0.0198119420607026
"216","Mercenaria_r","transmembrane transport",133,0.018926995873061,330,0.018738288569644,1.01007067975902,0.0100203083641153
"217","Mercenaria_r","carbohydrate derivative metabolic process",131,0.0186423793937669,301,0.0170915904832207,1.09073403157352,0.0868508930551634
"218","Mercenaria_r","membrane organization",118,0.0167923722783549,278,0.0157855885526092,1.06377866256874,0.0618273453779151
"219","Mercenaria_r","cell junction organization",114,0.0162231393197666,279,0.0158423712452445,1.0240347905391,0.0237505011760171
"220","Mercenaria_r","protein catabolic process",111,0.0157962146008254,302,0.017148373175856,0.921149454752106,-0.0821329814596479
"221","Mercenaria_r","defense response to other organism",101,0.0143731322043546,294,0.0166941116347737,0.860970174322753,-0.149695415894535
"222","Mercenaria_r","cilium organization",99,0.0140885157250605,178,0.0101073192890807,1.39389241816876,0.332100134445392
"223","Mercenaria_r","intracellular protein transport",85,0.0120962003700014,219,0.0124354096871274,0.972722304639704,-0.0276566387232968
"224","Mercenaria_r","DNA repair",82,0.0116692756510602,181,0.0102776673669865,1.1354011795073,0.126986050601315
"225","Mercenaria_r","mRNA metabolic process",81,0.0115269674114131,197,0.0111861904491511,1.03046407656039,0.0300092605373379
"226","Mercenaria_r","carbohydrate metabolic process",77,0.0109577344528248,159,0.00902844812901028,1.2136896946459,0.19366505423634
"227","Mercenaria_r","microtubule-based movement",76,0.0108154262131777,161,0.00914201351428085,1.18304640397685,0.168092809904755
"228","Mercenaria_r","nucleobase-containing small molecule metabolic process",74,0.0105308097338836,172,0.00976662313326898,1.0782447106013,0.0753344509936043
"229","Mercenaria_r","circulatory system process",70,0.00996157677529529,189,0.0107319289080688,0.928218669786906,-0.074487938407396
"230","Mercenaria_r","autophagy",63,0.00896541909776576,161,0.00914201351428085,0.980683203296601,-0.0195058039900428
"231","Mercenaria_r","mitochondrion organization",60,0.00853849437882453,168,0.00953949236272784,0.895068003008803,-0.110855582578271
